modification	D_melanogaster_URL	start_build	end_build	liftover_URL	liftover_path
HP1b	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20823/suppl/GSE20823%5Frepset.5014217.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP1c	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20825/suppl/GSE20825%5Frepset.5013686.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP2	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20826/suppl/GSE20826%5Frepset.4623897.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
MBD-R2	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20828/suppl/GSE20828%5Frepset.5013879.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K79Me	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20836/suppl/GSE20836%5Frepset.4161604.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K4me2	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20838/suppl/GSE20838%5Frepset.7766223.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K79me1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23473/suppl/GSE23473%5Frepset.4161604.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K9acS10P	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23475/suppl/GSE23475%5Frepset.7766214.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
HP1a	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23483/suppl/GSE23483%5Frepset.4621227.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K36me1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25374/suppl/GSE25374%5Frepset.3211342.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
